GameTitle,CurP,months,rating,platforms ,multi,Likes on 1st Trailer,Dislikes on 1st Trailer,Total ,perL,perD
COD Modern warfare,54.99,7,3.3,3,1,"595,000","20,000","615,000",96.74796748,3.25203252
COD BO4 ,19.99,19,3.1,3,1,"83,000","6,400","89,400",92.84116331,7.158836689
StarWars Jedi Fallen Order,54.99,6,4.2,3,0,"51,000",959,"51,959",98.15431398,1.845686022
COD ghosts,19.99,90,4.1,3,1,"189,000","25,000","214,000",88.31775701,11.68224299
COD infinite warfare,4.99,54,3.8,3,1,"611,000","3,400,000","4,011,000",15.23310895,84.76689105
Starwars battlefront I,17.97,66,4.3,3,1,"89,000","4,000","93,000",95.69892473,4.301075269
Starwars battlefront II,19.99,42,4.5,3,1,"64,000","5,600","69,600",91.95402299,8.045977011
ghost recon breakpoint ,49.99,7,2.8,3,1,"20,000",549,"20,549",97.32833715,2.671662855
Battlefeild 5,24.99,19,2.8,3,1,"350,000","537,000","887,000",39.45885006,60.54114994
red dead redemption 2,59.99,19,4.6,3,1,"344,000","8,700","352,700",97.53331443,2.466685568
Marvel's spider-man ,29.99,18,4.7,1,0,"129,000","6,100","135,100",95.48482605,4.515173945
Death Stranding ,29.99,17,4.6,1,0,"382,000","9,300","391,300",97.62330693,2.376693074
Resident Evil 2,39.99,14,4.8,7,0,"42,000",657,"42,657",98.4598073,1.5401927
Devil May Cry 5,29.99,13,4.6,3,1,"96,000","3,100","99,100",96.87184662,3.12815338
The Last of Us Remasted ,19.99,77,4.8,3,0,"101,000",631,"101,631",99.37912645,0.6208735524
Tom Clancy's Rainbow Six: Siege,29.99,60,4.5,2,1,"113,000","6,700","119,700",94.40267335,5.59732665
Dead Island Definitive Collection,19.99,79,4,2,0,"181,000","6,000","187,000",96.79144385,3.20855615
Xcom 2,9.99,49,3.9,3,1,"3,100",48,"3,148",98.47522236,1.524777637
Grand Theft Auto V,29.99,80,4.6,5,1,"893,000","15,000","908,000",98.34801762,1.651982379
Gran Turismo Sport,19.99,31,3.9,1,1,"18,000",641,"18,641",96.56134328,3.438656724
New Super Mario Bros U Deluxe,59.99,14,4.7,1,1,"23,000","2,100","25,100",91.63346614,8.366533865
Pokemon Sword and Sheild ,59.99,7,4.6,1,1,"31,000","1,900","32,900",94.22492401,5.775075988
Adventure Time: Pirates of the Enchiridion,24.99,20,3.1,3,0,"3,700",264,"3,964",93.34006054,6.659939455
Super Smash Bros. Ultimate,59.99,15,4.8,1,1,"149,000","2,100","151,100",98.61019193,1.389808074
"Pokemon: Let's Go, Pikachu!",59.99,18,4.8,2,1,"275,000","31,000","306,000",89.86928105,10.13071895
The Legend of Zelda: Breath of the Wild,59.99,36,4.8,1,1,"315,000","5,400","320,400",98.31460674,1.685393258
Donkey Kong Country Tropical Freeze,59.99,73,4.8,1,1,"7,700",328,"8,028",95.91429995,4.08570005
Overwatch Origins Edition,19.99,55,4.5,3,1,"94,000","2,800","96,800",97.10743802,2.892561983
Wolfenstein II: The New Colossus,19.99,31,4.3,2,1,"36,000","1,700","37,700",95.49071618,4.50928382
Fallout 4: GOTYE,24.99,52,4.8,3,0,"123,000",3100,"126,100",97.54163362,2.458366376
Fallout 76,9.99,16,3,3,1,"191,000","26,000","217,000",88.01843318,11.98156682
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
